"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"1","B2m",5.11948192135179e-215,-1.85620939993045,0.747,0.994,7.75089562892661e-211,"Untreated"
"2","Stat1",5.87346482185735e-176,-2.42181657540938,0.544,0.933,8.89242574029203e-172,"Untreated"
"3","Ly6e",4.2980795579234e-149,-1.36564041541917,0.803,0.973,6.50729245069603e-145,"Untreated"
"4","Gbp2",9.2539881434087e-140,-3.86429983760605,0.13,0.759,1.40105380491208e-135,"Untreated"
"5","Gbp2b",2.20684954085979e-133,-4.2435642972407,0.081,0.719,3.34117020486172e-129,"Untreated"
"6","Ier5",6.89429646035006e-131,1.33740067244159,0.987,0.863,1.043796484097e-126,"Untreated"
"7","Gnai2",2.06067412074298e-127,1.12446125778784,0.979,0.932,3.11986061880487e-123,"Untreated"
"8","H2-K1",4.65571579400788e-126,-1.15428011136091,0.858,0.993,7.04875371212793e-122,"Untreated"
"9","Serpina3g",3.10944461340208e-119,-4.65142107381,0.034,0.652,4.70769914469075e-115,"Untreated"
"10","Zfp36",2.68409325058439e-114,0.900666567101218,0.998,0.965,4.06371718138477e-110,"Untreated"
"11","Samhd1",1.4264791782849e-112,-1.24710995870073,0.926,0.968,2.15968947592333e-108,"Untreated"
"12","Psmb8",2.17024643290707e-111,-1.14639002746699,0.76,0.958,3.2857530994213e-107,"Untreated"
"13","Plaat3",6.47693226459993e-105,-2.86531298360146,0.174,0.7,9.80607544860429e-101,"Untreated"
"14","Gbp3",1.24764068119025e-104,-2.57149267124431,0.225,0.734,1.88892799132204e-100,"Untreated"
"15","Tgm2",3.02464266196047e-100,-1.59779337683945,0.442,0.87,4.57930899020815e-96,"Untreated"
"16","Gbp4",2.04573789536394e-98,-4.67893539329358,0.057,0.601,3.097247173581e-94,"Untreated"
"17","Cfb",1.05145356620258e-94,-3.34770555390507,0.21,0.686,1.59190069923071e-90,"Untreated"
"18","Gbp5",6.00677594173288e-91,-3.83516831559816,0.068,0.584,9.09425877578358e-87,"Untreated"
"19","Wars",1.66736220533711e-85,-3.20668710277,0.204,0.661,2.52438637888038e-81,"Untreated"
"20","Kdm6b",1.54513893164627e-84,1.11769948623337,0.943,0.798,2.33934034251246e-80,"Untreated"
"21","Kctd12",1.26868074782631e-83,1.20862808010632,0.941,0.775,1.92078265220904e-79,"Untreated"
"22","Ifitm3",1.32440694805696e-83,-1.08881261683481,0.792,0.934,2.00515211935824e-79,"Untreated"
"23","Plbd1",5.25587375190949e-83,1.34101635324969,0.894,0.565,7.95739286039096e-79,"Untreated"
"24","Cybb",2.22889865654477e-82,-1.00878235667193,0.849,0.896,3.37455256600879e-78,"Untreated"
"25","Zfp36l2",3.70536786859329e-82,1.0045595411574,0.992,0.908,5.60992695305024e-78,"Untreated"
"26","Psmb9",1.13304602318523e-81,-1.14860800242692,0.635,0.914,1.71543167910243e-77,"Untreated"
"27","Ier2",6.93855729291721e-80,1.156269540016,0.936,0.807,1.05049757414767e-75,"Untreated"
"28","Tyrobp",7.77059651980125e-79,0.657111586999114,0.987,0.906,1.17646831309791e-74,"Untreated"
"29","Yy1",1.29389012784345e-77,1.36784806604745,0.82,0.539,1.95894965355498e-73,"Untreated"
"30","Cfl1",8.84336706486521e-77,0.765166298139992,0.985,0.958,1.33888577362059e-72,"Untreated"
"31","Smpdl3b",5.8836807151656e-76,-2.84970268722968,0.161,0.603,8.90789260276071e-72,"Untreated"
"32","Cd274",1.10085023338636e-74,-2.28779478585489,0.136,0.609,1.66668725334695e-70,"Untreated"
"33","Jund",1.26433356030443e-73,1.08176742664022,0.972,0.879,1.9142010103009e-69,"Untreated"
"34","Irf1",6.9407342689919e-73,-1.52329529221195,0.535,0.829,1.05082716832537e-68,"Untreated"
"35","Gpr141",1.71207144230137e-71,-1.65888943999864,0.397,0.741,2.59207616364427e-67,"Untreated"
"36","Zbp1",2.46988573611247e-71,-1.45125221692262,0.433,0.791,3.73940700447429e-67,"Untreated"
"37","Psme1",1.52147134618677e-70,-0.902442931066553,0.752,0.936,2.30350761812676e-66,"Untreated"
"38","Btg2",2.17645508743835e-69,0.927945838863611,0.977,0.88,3.29515300238167e-65,"Untreated"
"39","Calhm6",6.88967637233163e-69,-2.84607143678281,0.13,0.559,1.04309700277101e-64,"Untreated"
"40","Marcks",1.06306085110681e-68,1.34847539288035,0.875,0.659,1.60947412857571e-64,"Untreated"
"41","Ms4a6d",1.13197107644948e-64,-1.24339887222261,0.732,0.861,1.71380420974451e-60,"Untreated"
"42","Tmem176b",1.63277488914262e-64,1.14187339494797,0.849,0.516,2.47202118216193e-60,"Untreated"
"43","Txnip",3.19011775167433e-64,0.956185357212596,0.945,0.793,4.82983827603493e-60,"Untreated"
"44","Ass1",2.92814904045993e-63,-2.10192728775107,0.193,0.604,4.43321764725633e-59,"Untreated"
"45","Pla2g7",2.9507047434866e-63,-1.08150736834523,0.76,0.868,4.46736698163871e-59,"Untreated"
"46","H2-Q7",1.91524508901335e-62,-2.78434894923558,0.108,0.516,2.89968106476621e-58,"Untreated"
"47","Fn1",4.2991225561284e-62,2.21988314750879,0.397,0.116,6.5088715499784e-58,"Untreated"
"48","Iigp1",5.23397562387906e-61,-7.33404109862526,0.004,0.399,7.92423909455289e-57,"Untreated"
"49","Tgfb1",3.55019936917923e-60,0.87099262621831,0.951,0.869,5.37500184493735e-56,"Untreated"
"50","Mmp14",3.81134527833518e-60,-3.36585754588692,0.076,0.474,5.77037675139947e-56,"Untreated"
"51","Cd68",3.97539040176409e-60,-1.02691876536819,0.711,0.869,6.01874106827083e-56,"Untreated"
"52","Ctsb",5.98746840541891e-60,-1.25528794708527,0.896,0.94,9.06502716580424e-56,"Untreated"
"53","Prdx5",2.44491844871823e-58,-1.17073449939141,0.805,0.886,3.7016065313594e-54,"Untreated"
"54","Id2",5.91685844082065e-58,-1.5468394505314,0.463,0.763,8.95812367940247e-54,"Untreated"
"55","Ccrl2",6.69179167580199e-58,-1.5554107126045,0.41,0.743,1.01313725971642e-53,"Untreated"
"56","Amz1",7.45289909179172e-58,1.27513027463802,0.737,0.422,1.12836892249727e-53,"Untreated"
"57","Calm1",1.36000129492039e-57,-0.841859228851132,0.883,0.941,2.05904196050947e-53,"Untreated"
"58","Plac8",6.81308476395322e-57,-0.996618721992884,0.917,0.869,1.03150103326252e-52,"Untreated"
"59","Rnf19b",8.82147686178869e-56,-1.35121595116935,0.456,0.761,1.33557159687481e-51,"Untreated"
"60","H2-Aa",5.57140886633053e-55,-0.867000457756909,0.97,0.98,8.43511302362442e-51,"Untreated"
"61","Plp2",6.44362999631026e-55,2.43310775234288,0.291,0.073,9.75565581441374e-51,"Untreated"
"62","Tapbpl",8.52067819329748e-55,-2.05681127842671,0.166,0.544,1.29003067846524e-50,"Untreated"
"63","Arsb",1.85288788621484e-54,1.81398784476421,0.454,0.169,2.80527225972927e-50,"Untreated"
"64","Ifi47",2.32250867030349e-54,-1.94618428603367,0.2,0.574,3.51627812683949e-50,"Untreated"
"65","Gbp8",1.29385454043101e-53,-3.24263018503472,0.049,0.422,1.95889577421254e-49,"Untreated"
"66","Arhgap45",1.41465945254856e-53,1.13937292406982,0.807,0.587,2.14179441115852e-49,"Untreated"
"67","Rgl2",2.36977092037391e-53,1.41234089178548,0.575,0.259,3.5878331734461e-49,"Untreated"
"68","Smpdl3a",3.7747342058553e-53,-1.31120332860071,0.429,0.736,5.71494758766492e-49,"Untreated"
"69","Nod1",3.90276439658312e-51,-1.39087982384558,0.346,0.689,5.90878529642685e-47,"Untreated"
"70","Il2rg",6.49567492148261e-51,-0.965793017143175,0.522,0.831,9.83445183112468e-47,"Untreated"
"71","F13a1",7.95720582615091e-51,1.56226084262428,0.363,0.111,1.20472096207925e-46,"Untreated"
"72","Atf3",2.88717572602477e-50,0.851549190220621,0.943,0.864,4.3711840492015e-46,"Untreated"
"73","Arpc2",7.05660549447226e-50,-0.910071364070906,0.522,0.824,1.0683700718631e-45,"Untreated"
"74","Lamp1",7.66080221391287e-50,-0.788088458869234,0.662,0.901,1.15984545518641e-45,"Untreated"
"75","Tnfaip2",8.08189713767919e-50,-1.68102784166723,0.376,0.675,1.22359922664463e-45,"Untreated"
"76","S100a6",8.79437337545609e-50,1.25281483012176,0.705,0.392,1.33146812904405e-45,"Untreated"
"77","Treml4",1.44442906779108e-49,-1.44738890468663,0.41,0.705,2.1868656086357e-45,"Untreated"
"78","Rab5c",1.77996505621264e-49,-0.895292645683032,0.524,0.818,2.69486709510594e-45,"Untreated"
"79","Kbtbd11",3.54675553974642e-49,2.22508101994991,0.272,0.07,5.36978788717609e-45,"Untreated"
"80","Gm2a",6.99203966474847e-49,0.602972260640584,0.992,0.915,1.05859480524292e-44,"Untreated"
"81","Ms4a4c",7.2820991168774e-49,-1.52586815659627,0.376,0.671,1.10250980629524e-44,"Untreated"
"82","Gngt2",3.64000910673935e-48,-0.985901724354647,0.684,0.867,5.51097378760338e-44,"Untreated"
"83","Csf2ra",1.13085513999098e-47,0.732610235077525,0.962,0.864,1.71211468194634e-43,"Untreated"
"84","Ptms",2.1946298698483e-47,1.16040480316486,0.877,0.74,3.32266962295033e-43,"Untreated"
"85","Fpr2",2.61681390301633e-47,-3.51232407840925,0.062,0.4,3.96185624916673e-43,"Untreated"
"86","Gsdmd",5.57327437370509e-47,-0.924823098178839,0.539,0.812,8.4379374017895e-43,"Untreated"
"87","Adgre4",6.5108604700614e-46,-1.16602568719158,0.624,0.789,9.85744275167296e-42,"Untreated"
"88","Fos",1.43327839092584e-45,0.695999565164066,0.981,0.906,2.16998348386172e-41,"Untreated"
"89","Crip1",8.60255660810587e-45,1.18605402014772,0.856,0.672,1.30242707046723e-40,"Untreated"
"90","Igtp",8.61730812847144e-45,-2.92376485256525,0.104,0.434,1.30466045065058e-40,"Untreated"
"91","Clec4a3",1.06766219046218e-44,-0.842314217282913,0.72,0.861,1.61644055635975e-40,"Untreated"
"92","Junb",1.83431863609937e-44,0.620912004253774,0.987,0.921,2.77715841505444e-40,"Untreated"
"93","Klra2",2.68260735208106e-44,-1.49837287589763,0.333,0.629,4.06146753105072e-40,"Untreated"
