"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"1","B2m",3.1574147195511e-166,-1.6599525985998,0.747,0.99,4.78032588540037e-162,"Untreated_v_NP-"
"2","Stat1",3.66830310819925e-147,-2.43875420689517,0.544,0.926,5.55381090581367e-143,"Untreated_v_NP-"
"3","Samhd1",6.17272426113299e-128,-1.38950330316563,0.926,0.976,9.34550453135534e-124,"Untreated_v_NP-"
"4","Ly6e",1.88285351855201e-124,-1.4142246005234,0.803,0.951,2.85064022708775e-120,"Untreated_v_NP-"
"5","Psmb8",3.88732718554828e-113,-1.23907354756865,0.76,0.977,5.88541335892009e-109,"Untreated_v_NP-"
"6","Gbp2",6.71327727418164e-113,-3.79838610749907,0.13,0.733,1.0163901793111e-108,"Untreated_v_NP-"
"7","Gbp2b",6.499226736154e-111,-4.23316066073807,0.081,0.699,9.83982927853715e-107,"Untreated_v_NP-"
"8","Plac8",4.46908868329022e-110,-1.32355998786798,0.917,0.959,6.76620026650139e-106,"Untreated_v_NP-"
"9","Cfb",1.70465763236821e-107,-3.63781796583745,0.21,0.76,2.58085165540547e-103,"Untreated_v_NP-"
"10","Plaat3",1.20356147976441e-105,-2.97795819719352,0.174,0.744,1.82219208036332e-101,"Untreated_v_NP-"
"11","Cybb",9.34909361929666e-101,-1.10581202903504,0.849,0.972,1.41545277396151e-96,"Untreated_v_NP-"
"12","Gnai2",3.66303365831446e-100,1.05011223996954,0.979,0.965,5.54583295868809e-96,"Untreated_v_NP-"
"13","Gpr141",1.12103214290972e-95,-1.91160525104444,0.397,0.84,1.69724266436532e-91,"Untreated_v_NP-"
"14","Ms4a6d",5.45323749658318e-90,-1.4700165600792,0.732,0.93,8.25620156982693e-86,"Untreated_v_NP-"
"15","Ier5",2.66031807886191e-88,1.0838129670425,0.987,0.951,4.02772157139693e-84,"Untreated_v_NP-"
"16","Ifitm3",7.03272195768018e-88,-1.19810895757254,0.792,0.944,1.06475410439278e-83,"Untreated_v_NP-"
"17","Psmb9",7.87835723806065e-87,-1.25989024817246,0.635,0.941,1.19278328584238e-82,"Untreated_v_NP-"
"18","Gbp3",1.78256229964467e-86,-2.48072325827206,0.225,0.726,2.69879932166203e-82,"Untreated_v_NP-"
"19","Serpina3g",5.16578960912847e-86,-4.27707034575485,0.034,0.574,7.8210054682205e-82,"Untreated_v_NP-"
"20","Prdx5",1.75366306402538e-82,-1.40010329679228,0.805,0.937,2.65504587893443e-78,"Untreated_v_NP-"
"21","Arpc4",2.52301616247459e-81,-1.56230593229824,0.374,0.828,3.81984646998653e-77,"Untreated_v_NP-"
"22","H2-K1",9.15656544772378e-81,-0.889844399370693,0.858,0.988,1.38630400878538e-76,"Untreated_v_NP-"
"23","Cd68",4.05589916970327e-80,-1.12523275086866,0.711,0.956,6.14063134293075e-76,"Untreated_v_NP-"
"24","Psme1",1.5859898915463e-78,-1.00979811390141,0.752,0.963,2.40118869580109e-74,"Untreated_v_NP-"
"25","Gbp4",3.81572261792854e-77,-3.74539055454811,0.057,0.558,5.77700404354381e-73,"Untreated_v_NP-"
"26","Zbp1",9.38083140208777e-77,-1.57239356524657,0.433,0.834,1.42025787427609e-72,"Untreated_v_NP-"
"27","Zfp36",3.18917724744488e-76,0.715320948439309,0.998,0.997,4.82841435263154e-72,"Untreated_v_NP-"
"28","Gbp5",1.37357537284417e-74,-3.75174334450214,0.068,0.557,2.07959311448607e-70,"Untreated_v_NP-"
"29","Ms4a4c",4.50285693859971e-73,-1.84900618106887,0.376,0.775,6.81732540503996e-69,"Untreated_v_NP-"
"30","Pla2g7",4.6802739581046e-72,-1.1430371347159,0.76,0.928,7.08593477257037e-68,"Untreated_v_NP-"
"31","Arpc2",1.18278988316157e-69,-1.09242157159261,0.522,0.915,1.79074388310661e-65,"Untreated_v_NP-"
"32","Smpdl3b",5.89111833182482e-69,-2.80600294269699,0.161,0.616,8.91915315438278e-65,"Untreated_v_NP-"
"33","Yy1",7.60677300203505e-68,1.42745488319692,0.82,0.54,1.15166543250811e-63,"Untreated_v_NP-"
"34","Klra2",7.66831383204908e-67,-1.81023993558346,0.333,0.739,1.16098271417223e-62,"Untreated_v_NP-"
"35","Ifi204",2.84073503509251e-65,-1.6788847338671,0.397,0.785,4.30087284313005e-61,"Untreated_v_NP-"
"36","Ass1",5.04415932055193e-65,-2.17314203346621,0.193,0.645,7.63685721131562e-61,"Untreated_v_NP-"
