"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"1","Lag3",4.0859108599002e-34,4.71813563213051,0.398,0.074,6.54889792624805e-30,"NP+","significant","positive","LAG3"
"2","Ms4a6d",4.7113765092878e-16,4.32716527397651,0.313,0.032,7.55139426908648e-12,"NP+","significant","positive","MS4A6E"
"3","Cybb",4.47526562353018e-08,4.24947624733393,0.313,0.024,0.000717295574139417,"NP+","significant","positive","CYBB"
"4","Mpeg1",4.53540574971809e-10,4.06317017176595,0.361,0.037,7.26934833564816e-06,"NP+","significant","positive","MPEG1"
"5","Lyz2",2.45208358293943e-08,-4.00394829878938,0.077,0.43,0.000393019956673532,"NP-","significant","negative","LYZ"
"6","Tgm2",2.7938068547124e-11,3.8751619187448,0.253,0.037,4.47791362673303e-07,"NP+","significant","positive","TGM2"
"7","H2-Aa",1.10709182095306e-08,3.85812606924951,0.386,0.04,0.000177444677062357,"NP+","significant","positive","HLA-DQA2"
"8","Plac8",5.19307965668681e-52,3.8146781425258,0.813,0.196,8.32346807373762e-48,"NP+","significant","positive","PLAC8"
"9","Fcgr4",4.20594287193606e-07,3.76199468217067,0.301,0.059,0.00674128523513912,"NP+","significant","positive","FCGR3B"
"10","Clec4a3",5.19749290291565e-12,3.60638231555543,0.271,0.041,8.3305416247932e-08,"NP+","significant","positive","CLEC4A"
"11","Cd74",1.40281903629291e-37,3.52194196250721,0.663,0.078,2.24843835137027e-33,"NP+","significant","positive","CD74"
"12","Plac8",6.97293059491577e-76,-3.47078580226309,0.058,0.387,1.1176213157531e-71,"Untreated","significant","negative","PLAC8"
"13","Csf1r",1.38095472589571e-07,3.4094231727139,0.307,0.053,0.00221339423466564,"NP+","significant","positive","CSF1R"
"14","Cd68",6.68450612852946e-12,3.3556983570835,0.313,0.072,1.0713926422807e-07,"NP+","significant","positive","CD68"
"15","Ctsh",1.18152116330809e-08,3.23265401960696,0.283,0.046,0.000189374212055021,"NP+","significant","positive","CTSH"
"16","Hck",1.02499272110543e-10,3.1695783466775,0.386,0.079,1.64285833338778e-06,"NP+","significant","positive","HCK"
"17","Gzmb",6.47657273421056e-16,3.11841913777613,0.476,0.21,1.03806507783927e-11,"NP+","significant","positive","GZMB"
"18","Gbp2b",5.10841957573408e-53,-3.11748269951419,0.072,0.44,8.18777489598659e-49,"Untreated","significant","negative","GBP3"
"19","Ifitm3",9.96769368327103e-10,2.95895379216574,0.428,0.129,1.59762194355468e-05,"NP+","significant","positive","IFITM3"
"20","St6gal1",2.15793414845525e-17,-2.94920267984031,0.078,0.415,3.45873685314407e-13,"NP+","significant","negative","ST6GAL1"
"21","Ccr4",1.77653759926152e-11,-2.93740832782503,0.084,0.338,2.84743446409636e-07,"NP+","significant","negative","CCR4"
"22","Pla2g7",5.80470658197347e-07,2.86922921615601,0.386,0.109,0.00930378370958707,"NP+","significant","positive","PLA2G7"
"23","Ly6a",2.7256247997232e-25,2.84599475337476,0.428,0.109,4.36863142899634e-21,"NP+","significant","positive",NA
"24","Lyz2",5.46507174171825e-21,2.79450694300882,0.62,0.155,8.75941698762602e-17,"NP+","significant","positive","LYZ"
"25","Tiam1",3.47389866686054e-13,-2.7304624254148,0.133,0.403,5.56796478324407e-09,"NP+","significant","negative","TIAM1"
"26","Pdcd1",4.36180649263941e-18,2.57705106118203,0.47,0.2,6.99110344640244e-14,"NP+","significant","positive","PDCD1"
"27","App",1.43308591264326e-07,2.55077208846972,0.361,0.085,0.00229695010078462,"NP+","significant","positive","APP"
"28","S1pr1",3.9438162780226e-22,-2.53093640321507,0.181,0.578,6.32114873041462e-18,"NP+","significant","negative","S1PR1"
"29","Usp28",8.47521861127729e-09,-2.5027905693072,0.06,0.257,0.000135840803901552,"NP+","significant","negative","USP28"
"30","Dtx1",1.64287423292014e-09,-2.49001688856404,0.066,0.28,2.6331988205244e-05,"NP+","significant","negative","DTX1"
"31","Gzmb",4.35581940570322e-12,-2.48558337506079,0.105,0.31,6.98150734346112e-08,"Untreated","significant","negative","GZMB"
"32","Cd8a",1.06176851963047e-23,2.40948197188527,0.398,0.102,1.70180258326371e-19,"NP+","significant","positive","CD8A"
"33","Slamf6",8.25067540200583e-15,-2.37042826677358,0.127,0.441,1.32241825343349e-10,"NP+","significant","negative","SLAMF6"
"34","Ehd1",5.59776051706417e-08,2.30039090923959,0.355,0.162,0.000897209055675045,"NP+","significant","positive","EHD1"
"35","Adgrg5",2.74496301828671e-09,2.28717169452076,0.283,0.093,4.39962672570993e-05,"NP+","significant","positive","ADGRG5"
