"","X","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"1",48,"Iigp1",5.23397562387906e-61,-7.33404109862526,0.004,0.399,7.92423909455289e-57,"Untreated","significant","negative",NA
"2",16,"Gbp4",2.04573789536394e-98,-4.67893539329358,0.057,0.601,3.097247173581e-94,"Untreated","significant","negative","GBP6"
"3",9,"Serpina3g",3.10944461340208e-119,-4.65142107381,0.034,0.652,4.70769914469075e-115,"Untreated","significant","negative","SERPINA3"
"4",5,"Gbp2b",2.20684954085979e-133,-4.2435642972407,0.081,0.719,3.34117020486172e-129,"Untreated","significant","negative","GBP3"
"5",170,"Gbp6",1.87502202127571e-32,-3.97452316874892,0.023,0.272,2.83878334021142e-28,"Untreated","significant","negative","GBP6"
"6",4,"Gbp2",9.2539881434087e-140,-3.86429983760605,0.13,0.759,1.40105380491208e-135,"Untreated","significant","negative","GBP2"
"7",18,"Gbp5",6.00677594173288e-91,-3.83516831559816,0.068,0.584,9.09425877578358e-87,"Untreated","significant","negative","GBP5"
"8",1387,"Eng",1.79554995234603e-59,-3.76491993599491,0.133,0.307,2.71846262785189e-55,"NP+","significant","negative","ENG"
"9",186,"Cnn3",4.5045904371599e-31,-3.56772840937965,0.025,0.268,6.81994992186009e-27,"Untreated","significant","negative","CNN3"
"10",1350,"Acvrl1",6.34574715870137e-82,-3.56505923897935,0.138,0.354,9.60746119827388e-78,"NP+","significant","negative","ACVRL1"
"11",85,"Fpr2",2.61681390301633e-47,-3.51232407840925,0.062,0.4,3.96185624916673e-43,"Untreated","significant","negative","FPR2"
"12",50,"Mmp14",3.81134527833518e-60,-3.36585754588692,0.076,0.474,5.77037675139947e-56,"Untreated","significant","negative","MMP14"
"13",17,"Cfb",1.05145356620258e-94,-3.34770555390507,0.21,0.686,1.59190069923071e-90,"Untreated","significant","negative","CFB"
"14",65,"Gbp8",1.29385454043101e-53,-3.24263018503472,0.049,0.422,1.95889577421254e-49,"Untreated","significant","negative","GBP6"
"15",188,"Gbp7",5.69718518284551e-31,-3.21450749029455,0.066,0.317,8.6255383668281e-27,"Untreated","significant","negative","GBP7"
"16",19,"Wars",1.66736220533711e-85,-3.20668710277,0.204,0.661,2.52438637888038e-81,"Untreated","significant","negative",NA
"17",90,"Igtp",8.61730812847144e-45,-2.92376485256525,0.104,0.434,1.30466045065058e-40,"Untreated","significant","negative","IRGM"
"18",13,"Plaat3",6.47693226459993e-105,-2.86531298360146,0.174,0.7,9.80607544860429e-101,"Untreated","significant","negative","PLAAT3"
"19",31,"Smpdl3b",5.8836807151656e-76,-2.84970268722968,0.161,0.603,8.90789260276071e-72,"Untreated","significant","negative","SMPDL3B"
"20",39,"Calhm6",6.88967637233163e-69,-2.84607143678281,0.13,0.559,1.04309700277101e-64,"Untreated","significant","negative","CALHM6"
"21",1153,"Pecam1",1.79226749148854e-50,-2.79493928817529,0.181,0.375,2.71349298211365e-46,"NP-","significant","negative","PECAM1"
"22",46,"H2-Q7",1.91524508901335e-62,-2.78434894923558,0.108,0.516,2.89968106476621e-58,"Untreated","significant","negative","HLA-G"
"23",380,"Pecam1",1.80144744978179e-18,-2.7591538661056,0.149,0.333,2.72739143896963e-14,"Untreated","significant","negative","PECAM1"
"24",1173,"Cd36",1.21236567278433e-34,-2.7442228706026,0.157,0.307,1.83552162859548e-30,"NP-","significant","negative","CD36"
"25",254,"Il18bp",1.7829397556037e-25,-2.72037782331974,0.045,0.26,2.699370789984e-21,"Untreated","significant","negative","IL18BP"
"26",858,"Cd36",1.86308717900967e-07,-2.70006085471946,0.183,0.27,0.00282071398902064,"Untreated","significant","negative","CD36"
"27",14,"Gbp3",1.24764068119025e-104,-2.57149267124431,0.225,0.734,1.88892799132204e-100,"Untreated","significant","negative","GBP7"
"28",197,"Nr1h3",6.97139711182353e-30,-2.4870724403981,0.108,0.362,1.05546952273008e-25,"Untreated","significant","negative","NR1H3"
"29",1283,"Acvrl1",6.35718655008314e-08,-2.43577675346474,0.211,0.259,0.000962478043682587,"NP-","significant","negative","ACVRL1"
"30",61,"Plp2",6.44362999631026e-55,2.43310775234288,0.291,0.073,9.75565581441374e-51,"Untreated","significant","positive","PLP2"
"31",2,"Stat1",5.87346482185735e-176,-2.42181657540938,0.544,0.933,8.89242574029203e-172,"Untreated","significant","negative","STAT1"
"32",1379,"Lifr",4.96348197465353e-62,-2.41217277268852,0.084,0.256,7.51471170962544e-58,"NP+","significant","negative","LIFR"
"33",277,"Irgm2",9.25042605551403e-24,-2.38958094897105,0.083,0.296,1.40051450480482e-19,"Untreated","significant","negative","IRGM"
"34",1547,"Cd36",3.8904959064596e-20,-2.32892988928469,0.218,0.306,5.89021080237984e-16,"NP+","significant","negative","CD36"
"35",32,"Cd274",1.10085023338636e-74,-2.28779478585489,0.136,0.609,1.66668725334695e-70,"Untreated","significant","negative","CD274"
"36",259,"Gbp9",3.9287804682652e-25,-2.23254275188158,0.098,0.324,5.94817362895351e-21,"Untreated","significant","negative","GBP6"
"37",79,"Kbtbd11",3.54675553974642e-49,2.22508101994991,0.272,0.07,5.36978788717609e-45,"Untreated","significant","positive","KBTBD11"
"38",47,"Fn1",4.2991225561284e-62,2.21988314750879,0.397,0.116,6.5088715499784e-58,"Untreated","significant","positive","FN1"
"39",1181,"Jup",3.44823585535457e-28,-2.15612901213172,0.145,0.276,5.22062908500683e-24,"NP-","significant","negative","JUP"
"40",1167,"Cd93",5.76725895209166e-39,-2.11023886712786,0.257,0.414,8.73163005346678e-35,"NP-","significant","negative","CD93"
"41",221,"Aida",1.2350202293782e-27,-2.10710475214386,0.076,0.318,1.86982062727859e-23,"Untreated","significant","negative","AIDA"
"42",44,"Ass1",2.92814904045993e-63,-2.10192728775107,0.193,0.604,4.43321764725633e-59,"Untreated","significant","negative","ASS1"
"43",1405,"Flt1",3.8206302990179e-49,-2.06526477662448,0.149,0.311,5.7844342727131e-45,"NP+","significant","negative","FLT1"
"44",62,"Tapbpl",8.52067819329748e-55,-2.05681127842671,0.166,0.544,1.29003067846524e-50,"Untreated","significant","negative","TAPBPL"
"45",1520,"Jup",2.64011376803653e-23,-2.04054086037702,0.189,0.285,3.99713224480731e-19,"NP+","significant","negative","JUP"
"46",198,"Heg1",9.12221262263243e-30,-2.01762844636397,0.149,0.411,1.38110299106655e-25,"Untreated","significant","negative","HEG1"
"47",99,"Lsr",3.18947595052886e-43,1.97080453759368,0.287,0.085,4.8288665891007e-39,"Untreated","significant","positive","LSR"
"48",64,"Ifi47",2.32250867030349e-54,-1.94618428603367,0.2,0.574,3.51627812683949e-50,"Untreated","significant","negative",NA
"49",204,"Lap3",3.15905327165635e-29,-1.94604774899843,0.134,0.388,4.78280665328771e-25,"Untreated","significant","negative","LAP3"
"50",301,"Tmcc3",1.80758571522246e-22,-1.93200675251811,0.087,0.3,2.7366847728468e-18,"Untreated","significant","negative","TMCC3"
"51",293,"Cxcl2",9.85093509875027e-23,-1.89721071139049,0.24,0.442,1.49143157395079e-18,"Untreated","significant","negative","CXCL3"
"52",315,"Il27",1.06092623191014e-21,-1.89296339728352,0.087,0.292,1.60624231511195e-17,"Untreated","significant","negative","IL27"
